draw_date,lottery_name,draw_no,prize_rank,prize_amount,winning_number,source_url
2021-01-12,Sthree Sakthi,AK-526,5,100,6171,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,6285,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,6302,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6356,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6428,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6489,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,6492,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6510,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,6548,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6812,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,6824,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,6861,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,7097,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7128,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7133,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7173,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7220,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,7248,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7255,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7256,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7257,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7330,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7367,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7442,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7470,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7473,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7492,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,7499,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,7518,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
